LGA_code,LGA_name,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
13700,Harden (A),23.08,14.29,12.5,11.54,16,19.05,4.55,20.69,19.05
13800,Hawkesbury (C),17.34,18.35,18.28,16.33,19.59,22.73,19.31,18.78,22.66
13850,Hay (A),10.53,11.11,9.52,28.57,17.86,13.64,14.29,9.09,14.29
13950,Holroyd (C),16.17,14.15,15.66,13.71,15.86,14.12,15.82,17.94,16.61
14000,Hornsby (A),13.15,11.94,13.8,13.94,13.85,14.57,14.68,16.57,16.51
14100,Hunters Hill (A),14.39,16.67,19.2,13.85,14.39,13.24,20.8,15.29,15.65
14150,Hurstville (C),14.58,14.18,12.81,14.04,13.79,14.27,16.02,14.26,18.58
14200,Inverell (A),16.28,16.44,19.32,19.75,14.46,15.04,17.59,22.88,31.13
14250,Jerilderie (A),-,12.5,12.5,14.29,25,17.65,0,16.67,12.5
14300,Junee (A),8.33,18.18,5.56,10.71,7.41,13.33,20.69,24.24,20.83
14350,Kempsey (A),19.62,22.16,12.8,22.63,22.28,22.28,25.73,24.15,20.87
14400,Kiama (A),7.41,12.8,13.68,11.57,13.17,18.8,18.07,14.22,16.46
14450,Kogarah (C),15.14,15.86,13.44,10.26,9.85,17.16,18.35,14.96,16.42
14500,Ku-ring-gai (A),12.72,13.47,13.89,13.52,12.73,13.74,13.73,12.88,16.48
14550,Kyogle (A),15.79,34.55,25.86,30.91,30.99,21.62,31.65,26.37,24.36
14600,Lachlan (A),8.7,16.67,20,17.14,28.13,37.84,25.64,23.4,29.63
14650,Lake Macquarie (C),15.57,17.87,17.98,16.79,19.87,20.38,18.45,19.79,20.21
14700,Lane Cove (A),12.77,16.07,14.29,15.84,16.18,12.95,16.17,19.26,12.21
14750,Leeton (A),17.14,13.33,19.75,9.72,21.88,15.12,15.66,21.33,17.81
14800,Leichhardt (A),21.51,18.68,17.68,13.82,21.97,21.4,19.74,19.89,21.56
14850,Lismore (C),25.25,23.67,22.39,20.71,24.76,22.36,25.53,29.5,28.28
14870,Lithgow (C),23.58,16.82,20.95,24.75,30.39,19.64,17.86,22.73,25.71
14900,Liverpool (C),16.37,15.88,16.6,14.54,15.37,16.33,14.89,18.43,18.94
14920,Liverpool Plains (A),9.68,16.13,5.41,9.09,8.82,11.54,15,8.33,18.87
14950,Lockhart (A),8.33,9.09,23.81,7.69,7.14,4.55,16.67,7.69,28
15050,Maitland (C),19.96,18.98,21.36,18.61,18.66,20.24,21.68,20,19.37
15150,Manly (A),21.75,17.01,15.56,18.49,15.92,14.95,17.03,18.55,21.99
15200,Marrickville (A),17.1,16.87,17.9,16.53,18.43,18.01,18.76,18.87,22.33
15270,Mid-Western Regional (A),12.77,17.92,22.88,15.6,23.53,17.78,18.52,17.75,20.75
15300,Moree Plains (A),22.73,14.93,26.79,25.76,20,26.23,26.09,19.77,14.29
15350,Mosman (A),13.78,15.17,13.51,16.89,11.57,15.8,16.72,13.77,12.43
15500,Murray (A),19.05,19.05,19.23,9.09,18.18,5.56,9.09,18.92,26.47
15550,Murrumbidgee (A),8.33,23.53,15.38,23.53,26.67,20,25,12.5,33.33
15650,Muswellbrook (A),21.21,21.67,28.38,15.66,16.67,16.28,15.85,21.98,28.75
15700,Nambucca (A),20.73,22.58,24.53,23.58,30.19,20,24.51,24.56,22.12
15750,Narrabri (A),27.87,17.39,22.97,26.42,12.68,19.23,6.33,23.61,17.11
15800,Narrandera (A),10.81,21.43,17.65,12.2,12.2,16.42,14.89,25,10.71
15850,Narromine (A),12,10.81,25.53,20,12.9,14,22.92,29.27,30.3
15900,Newcastle (C),18.35,18.05,17.67,16.06,18.03,18.65,18.24,19.45,20.57
15950,North Sydney (A),17.74,16.37,15.26,12.85,16.11,18.23,16.97,16.91,22.67
16100,Oberon (A),17.39,7.41,15.38,13.89,20,31.82,20,36,8.7
16150,Orange (C),19.48,19.46,21.36,15.96,17.34,23.91,22.32,21.2,20.1
16180,Palerang (A),22.03,13.73,21.88,23.33,20.83,15.71,19.75,20.69,24
16200,Parkes (A),15.22,22.78,16.67,7.22,17.65,21.3,19,19.05,26.61
16250,Parramatta (C),15.23,13.76,15.69,14.85,15.11,15.37,15.83,17.74,17.75
16350,Penrith (C),17.17,16.33,17.3,18.12,17.67,16.73,20.03,19.11,21.18
16370,Pittwater (A),19.5,17.45,17.84,16.64,19.33,18.48,20.74,17.73,20.48
16380,Port Macquarie-Hastings (A),17.14,21.27,15.57,17.32,18.66,20.38,22.47,19.07,24.8
16400,Port Stephens (A),19.15,15.32,20.71,14.99,22.58,18.89,19.92,21.76,23.76
16470,Queanbeyan (C),19.17,23.68,18.26,19.35,15.78,19.39,19.46,19.38,21.6
16550,Randwick (C),14.97,13.02,14.43,15.54,14.44,15.35,15.6,15.87,17.46
16610,Richmond Valley (A),19.3,25,20.15,22.61,22.46,28.46,28.47,27.92,22.88
16650,Rockdale (C),16.55,18.06,16.18,17.16,16.98,15.61,15.61,17.09,18.54
16700,Ryde (C),15.88,15.18,15.04,13.35,14.24,13.38,14.62,16.13,17.59
16900,Shellharbour (C),15.56,12.77,15.58,13.27,13.96,14.18,16.58,19.54,18.92
16950,Shoalhaven (C),20.18,18.57,18,19.14,14.95,16.11,19.49,19.03,21.17
17000,Singleton (A),17.72,16.22,19.13,13.79,16.98,19.3,16.67,16.13,20.17
17050,Snowy River (A),30.43,9.09,12,14.29,19.44,23.91,17.07,24.14,20.9
17100,Strathfield (A),10.88,13.68,14.71,13.7,12.94,15.28,14.32,13.37,16.38
17150,Sutherland Shire (A),14.27,13.75,15.56,14.8,15.44,16.15,16.12,15.95,17.47
17200,Sydney (C),20.36,18.05,17.39,20.93,20.09,19.98,20.55,18.25,24.38
17310,Tamworth Regional (A),21.96,18.26,16.36,20.6,22.59,18.72,21.6,20.45,22.17
17350,Temora (A),17.39,10.53,21.21,12.9,25,14.71,15.63,13.95,14.29
17400,Tenterfield (A),16.67,13.64,25.93,11.11,12.5,21.05,11.76,28.57,18.18
17420,The Hills Shire (A),14.62,14.74,14.96,14.02,14.04,14.8,15.69,16.73,16.91
17450,Tumbarumba (A),26.67,25,20,11.11,8.33,25,25,20,28.57
17500,Tumut Shire (A),12.73,15.69,12.96,15,27.78,21.92,12.9,15,25
17550,Tweed (A),22.98,26.58,23.21,20.79,22.55,21.02,19.75,22.65,23.42
17620,Upper Hunter Shire (A),19.67,10.45,16.25,12.9,18.42,17.33,23.68,19.77,23.46
17640,Upper Lachlan Shire (A),12.5,13.51,6.45,15.91,6.45,15.38,12.77,22.22,30
17650,Uralla (A),6.45,14.29,25.81,23.08,23.91,16.13,27.78,13.51,34.04
17700,Urana (A),-,-,40,-,-,-,-,-,22.22
17750,Wagga Wagga (C),18.53,20.5,24.57,16.63,21.07,20.28,17.73,23.62,20.12
17800,Wakool (A),12.5,10,5,4.35,9.52,19.35,18.75,22.73,30.77
17850,Walcha (A),8.33,11.54,14.29,8.7,24,15,17.39,14.71,28
17900,Walgett (A),23.08,19.23,27.59,12.5,32.35,16,37.04,11.54,40
17950,Warren (A),16.67,-,7.69,26.67,15,8.33,33.33,6.67,10
18000,Warringah (A),16.76,13.69,16.56,15.68,17.97,18.31,18.47,17.55,18.5
18020,Warrumbungle Shire (A),20.34,16.92,23.53,12.77,16.33,17.91,20,28.4,28.33
18050,Waverley (A),18.21,15.88,18.87,17.12,20,17.8,19.55,20.4,17.61
18100,Weddin (A),16,9.52,8.33,11.11,8,17.24,10.71,29.73,14.71
18150,Wellington (A),21.43,12.5,10.34,16.67,21.43,23.91,30.23,17.65,29.17
